Exercise Name,Equipment,Mechanics,Force,Main_muscle,Difficulty (1-5)
Incline Straight Leg Raise:  arms on pads,Weighted,Isolated,Pull,Hips,4
Lying Leg Raise,Weighted,Isolated,Pull,Hips,2
Roman Chair Sit-up,Weighted,Isolated,Pull,Hips,3
Seated Leg Raise,Weighted,Isolated,Pull,Hips,2
Vertical Leg Raise,Weighted,Isolated,Pull,Hips,4
Vertical Leg Raise:  on Parallel Bars,Weighted,Isolated,Pull,Hips,4
Vertical Leg Raise:  Straight Leg,Weighted,Isolated,Pull,Hips,5
Leg Raises,Body Weight,Isolated,Pull,Hips,3
"Leg Raises:  Hanging Leg Raise

with ab straps
Straight Leg

",Body Weight,Isolated,Pull,Hips,5
"Leg Raises:  Incline Leg Raise

arms on pads

",Body Weight,Isolated,Pull,Hips,3
"Leg Raises:  Incline Straight Leg Raise

arms on pads

",Body Weight,Isolated,Pull,Hips,4
"Leg Raises:  Lying Leg Raise

Alternating
on floor

",Body Weight,Isolated,Pull,Hips,2
"Leg Raises:  Lying Straight Leg Raise

Alternating

",Body Weight,Isolated,Pull,Hips,3
Leg Raises:  Seated Leg Raise,Body Weight,Isolated,Pull,Hips,2
"Leg Raises:  Vertical Leg Raise

on parallel bars
Straight Leg

",Body Weight,Isolated,Pull,Hips,5
Jack-knife on Ball,Body Weight,Isolated,Pull,Hips,3
Roman Chair Sit-up,Body Weight,Isolated,Pull,Hips,3
Scissor Kick,Body Weight,Isolated,Pull,Hips,3
Wheel,Body Weight,Isolated,Pull,Hips,3
Wheel:  Jack-Knife,Body Weight,Isolated,Pull,Hips,4
Wheel:  Rollout,Body Weight,Isolated,Pull,Hips,4
Wheel:  Pike,Body Weight,Isolated,Pull,Hips,4
Discs,Body Weight,Isolated,Pull,Hips,3
Discs:  Pike,Body Weight,Isolated,Pull,Hips,4
Mountain Climber,Suspended,Compound,Pull,Hips,3
Pike,Suspended,Isolated,Pull,Hips,3
Lunge,Barbell,Compound,Push,Thighs,3
Lunge:  Rear Lunge,Barbell,Compound,Push,Thighs,3
Single Leg Split Squat,Barbell,Compound,Push,Thighs,4
Single Leg Split Squat:  Side Split Squat,Barbell,Compound,Push,Thighs,4
Single Leg Split Squat:  Single Leg Squat,Barbell,Compound,Push,Thighs,5
Squat,Barbell,Compound,Push,Thighs,3
Squat:  Front Squat,Barbell,Compound,Push,Thighs,4
Squat:  Trap Bar Squat,Barbell,Compound,Push,Thighs,3
Step-up,Barbell,Compound,Push,Thighs,3
Rear Lunge,Cable,Compound,Push,Thighs,3
Split Squat,Cable,Compound,Push,Thighs,3
Squat,Cable,Compound,Push,Thighs,3
Step Down,Cable,Compound,Push,Thighs,3
Step-up,Cable,Compound,Push,Thighs,3
Lunge,Dumbbell,Compound,Push,Thighs,3
Lunge:  Rear Lunge,Dumbbell,Compound,Push,Thighs,3
Split Squat,Dumbbell,Compound,Push,Thighs,3
Squat,Dumbbell,Compound,Push,Thighs,3
Squat:  Front Squat,Dumbbell,Compound,Push,Thighs,4
Step-up,Dumbbell,Compound,Push,Thighs,3
Step-up:  Step Down,Dumbbell,Compound,Push,Thighs,3
Leg Presses,Lever (plate loaded),Compound,Push,Thighs,3
Leg Presses:  45° Leg Press,Lever (plate loaded),Compound,Push,Thighs,3
Leg Presses:  Lying Leg Press,Lever (plate loaded),Compound,Push,Thighs,3
Leg Presses:  Seated Leg Press,Lever (plate loaded),Compound,Push,Thighs,3
Single Leg Squat (plate loaded),Lever (plate loaded),Compound,Push,Thighs,4
Split Squat,Lever (plate loaded),Compound,Push,Thighs,3
Squat,Lever (plate loaded),Compound,Push,Thighs,3
Squat:  Barbell Machine,Lever (plate loaded),Compound,Push,Thighs,3
Leg Extension,Lever (selectorized),Isolated,Push,Thighs,2
Leg Presses,Lever (selectorized),Compound,Push,Thighs,3
Leg Presses:  Seated Leg Press,Lever (selectorized),Compound,Push,Thighs,3
Squat,Lever (selectorized),Compound,Push,Thighs,3
V-Squat,Lever (selectorized),Compound,Push,Thighs,3
Leg Presses,Sled,Compound,Push,Thighs,3
Leg Presses:  45° Leg Press,Sled,Compound,Push,Thighs,3
Leg Presses:  Lying Leg Press,Sled,Compound,Push,Thighs,3
Leg Presses:  Seated Leg Press,Sled,Compound,Push,Thighs,3
Squat,Sled,Compound,Push,Thighs,3
Squat:  Hack Squat,Sled,Compound,Push,Thighs,3
Rear Lunge,Smith,Compound,Push,Thighs,3
Squat,Smith,Compound,Push,Thighs,3
Single Leg Squat,Weighted,Compound,Push,Thighs,5
Rear Lunge,Body Weight,Compound,Push,Thighs,3
Lunge,Body Weight,Compound,Push,Thighs,3
Single Leg Squat,Body Weight,Compound,Push,Thighs,5
Single Leg Squat:  Box,Body Weight,Compound,Push,Thighs,4
Split Squat,Body Weight,Compound,Push,Thighs,3
Split Squat:  Single Leg Split Squat,Body Weight,Compound,Push,Thighs,4
Squat,Body Weight,Compound,Push,Thighs,3
Step-up,Body Weight,Compound,Push,Thighs,3
Step-up:  Step-down,Body Weight,Compound,Push,Thighs,3
Single Leg Squat (leg wrapped),Self-assisted,Compound,Push,Thighs,4
Squat,Self-assisted,Compound,Push,Thighs,3
Step Down,Self-assisted,Compound,Push,Thighs,3
Single Leg Squat,Suspended,Compound,Push,Thighs,5
Single Leg Split Squat,Suspended,Compound,Push,Thighs,4
Glute-Ham Raise,Barbell,Isolated,Pull,Thighs,4
Good-morning,Barbell,Isolated,Pull,Thighs,3
Hyperextension,Barbell,Compound,Pull,Thighs,2
Hyperextension (45°),Barbell,Compound,Pull,Thighs,2
Straight-leg Deadlift,Barbell,Compound,Pull,Thighs,3
Straight-leg Deadlift:  Straight-back,Barbell,Isolated,Pull,Thighs,3
Lying Leg Curl,Cable,Isolated,Pull,Thighs,2
Standing Leg Curl,Cable,Compound,Pull,Thighs,2
Straight-back Straight-leg Deadlift,Cable,Isolated,Pull,Thighs,3
Straight-back Straight-leg Deadlift,Dumbbell,Isolated,Pull,Thighs,3
Kneeling Leg Curl,Lever (plate loaded),Isolated,Pull,Thighs,2
Seated Leg Curl,Lever (plate loaded),Isolated,Pull,Thighs,2
Straight-back Straight-leg Deadlift,Lever (plate loaded),Isolated,Pull,Thighs,3
Bent-over Leg Curl,Lever (selectorized),Isolated,Pull,Thighs,2
Kneeling Leg Curl,Lever (selectorized),Isolated,Pull,Thighs,2
Lying Leg Curl,Lever (selectorized),Isolated,Pull,Thighs,2
Seated Leg Curl,Lever (selectorized),Isolated,Pull,Thighs,2
Standing Leg Curl,Lever (selectorized),Isolated,Pull,Thighs,2
Good-morning,Smith,Isolated,Pull,Thighs,3
Straight-back Straight-leg Deadlift,Smith,Isolated,Pull,Thighs,3
Glute-Ham Raise,Weighted,Isolated,Pull,Thighs,4
Hyperextension,Weighted,Compound,Pull,Thighs,2
Hyperextension (45°),Weighted,Compound,Pull,Thighs,2
Hamstring Raise,Band-assisted,Compound,Pull,Thighs,3
Glute-Ham Raise,Body Weight,Isolated,Pull,Thighs,4
Glute-Ham Raise:  hands behind hips,Body Weight,Isolated,Pull,Thighs,4
Single Leg Hanging Hamstring Bridge,Body Weight,Isolated,Pull,Thighs,4
Single Leg 45° Hyperextension,Body Weight,Isolated,Pull,Thighs,3
Straight Hip Leg Curl (on ball),Body Weight,Isolated,Pull,Thighs,3
Inverse Leg Curl,Self-assisted,Isolated,Pull,Thighs,3
Leg Curl,Suspended,Isolated,Pull,Thighs,2
Hanging Leg Curl,Suspended,Isolated,Pull,Thighs,3
Straight Hip Leg Curl,Suspended,Isolated,Pull,Thighs,3
Hip Adduction,Cable,Isolated,Pull,Thighs,2
Seated Hip Adduction,Lever (plate loaded),Isolated,Pull,Thighs,2
Seated Hip Adduction,Lever (selectorized),Isolated,Pull,Thighs,2
Standing Hip Adduction,Lever (selectorized),Isolated,Pull,Thighs,2
Lying Hip Adduction,Weighted,Isolated,Pull,Thighs,2
Standing Calf Raise,Barbell,Isolated,Push,Calves,2
Standing Calf Raise,Cable,Isolated,Push,Calves,2
Standing Calf Raise:  One Arm Single Leg Calf Raise,Cable,Isolated,Push,Calves,3
Standing Calf Raise,Dumbbell,Isolated,Push,Calves,2
Standing Calf Raise:  Single Leg,Dumbbell,Isolated,Push,Calves,3
45° Calf Press,Lever (plate loaded),Isolated,Push,Calves,3
Calf Extension,Lever (plate loaded),Isolated,Push,Calves,2
Seated Calf Press,Lever (plate loaded),Isolated,Push,Calves,2
Standing Calf Raise,Lever (plate loaded),Isolated,Push,Calves,2
45° Calf Raise,Lever (selectorized),Isolated,Push,Calves,3
Calf Extension,Lever (selectorized),Isolated,Push,Calves,2
Donkey Calf Raise,Lever (selectorized),Isolated,Push,Calves,3
Seated Calf Press,Lever (selectorized),Isolated,Push,Calves,2
Standing Calf Raise,Lever (selectorized),Isolated,Push,Calves,2
45° Calf Press,Sled,Isolated,Push,Calves,3
45° Calf Raise,Sled,Isolated,Push,Calves,3
Donkey Calf Raise,Sled,Isolated,Push,Calves,3
Lying Calf Press,Sled,Isolated,Push,Calves,2
Seated Calf Press,Sled,Isolated,Push,Calves,2
Standing Calf Raise,Sled,Isolated,Push,Calves,2
Donkey Calf Raise,Smith,Isolated,Push,Calves,3
Standing Calf Raise,Smith,Isolated,Push,Calves,2
Single Leg Calf Raise,Weighted,Isolated,Push,Calves,3
Standing Calf Raise,Body Weight,Isolated,Push,Calves,2
Standing Calf Raise:  Single Leg,Body Weight,Isolated,Push,Calves,3
Single Leg Calf Raise,Self-assisted,Isolated,Push,Calves,3
Forward Angled Single Leg Calf Raise,Suspended,Isolated,Push,Calves,3
Safety Barbell Seated Calf Raise,Barbell,Isolated,Push,Calves,2
Seated Calf Raise,Lever (plate loaded),Isolated,Push,Calves,2
Seated Calf Raise,Lever (selectorized),Isolated,Push,Calves,2
Seated Calf Raise,Smith,Isolated,Push,Calves,2
Safety Bar Reverse Calf Raise,Barbell,Isolated,Pull,Calves,3
Reverse Calf Raise,Cable,Isolated,Pull,Calves,2
Reverse Calf Raise:  Single Leg,Cable,Isolated,Pull,Calves,3
Reverse Calf Raise,Dumbbell,Isolated,Pull,Calves,2
Reverse Calf Raise:  Single Leg,Dumbbell,Isolated,Pull,Calves,3
45° Reverse Calf Press,Lever (plate loaded),Isolated,Pull,Calves,3
45° Reverse Calf Raise,Lever (plate loaded),Isolated,Pull,Calves,3
Reverse Calf Raise,Lever (plate loaded),Isolated,Pull,Calves,2
Reverse Calf Extension,Lever (plate loaded),Isolated,Pull,Calves,2
Reverse Calf Extension,Lever (selectorized),Isolated,Pull,Calves,2
Reverse Calf Raise,Lever (selectorized),Isolated,Pull,Calves,2
45° Reverse Calf Press,Sled,Isolated,Pull,Calves,3
45° Reverse Calf Raise (plate loaded),Sled,Isolated,Pull,Calves,3
45° Reverse Calf Raise (on hack press),Sled,Isolated,Pull,Calves,3
Hack Reverse Calf Raise,Sled,Isolated,Pull,Calves,3
Lying Reverse Calf Press,Sled,Isolated,Pull,Calves,2
Seated Reverse Calf Press,Sled,Isolated,Pull,Calves,2
Reverse Calf Raise,Smith,Isolated,Pull,Calves,2
Reverse Calf Raise,Body Weight,Isolated,Pull,Calves,2
Reverse Calf Raise:  Single Leg,Body Weight,Isolated,Pull,Calves,3
